Model,Heuristic,Runs,CTC,TotalTrees,MedianAnalyzed,MeanAnalyzed,MinAnalyzed,MaxAnalyzed,MedianTime,MeanTime,MinTime,MaxTime,RatioAnalyzedAvoid,RatioAvoidAnalyzed,PercentageFinished
linux26333,Random,2,29174.000000000004,17745714943254447165597722082821710968200136118112220519375353652197978401353968971103058658151298729341245381759781777864324593861761283558889609030193454541443388893162132424484387032813267798781901946750610738728011548220236366026846599273751777466618732658225600157705127683342939928780994647046317160508449995079551401875967886137340486797015376703042075404433132594627160171248748298342806460254762475335027960444409738122477532460479900926221229688704738091823595319994070136747530158969501478253581776677512288295604053534075411986236935569884746991356443932483375789313060594097853794701125372458443480368658621168996943688632815475505330398770358101420929401856945385313804374423427138732150153838250893936162882645221308972421428708534053316282300592953853460655607412389819157779036579490674432036146373338200889477712535341580346458499176228487695511611598559925272447983064980140976160232637022842641157816678226285428937805739963749492945653339576473995378526349625790704083470180450461253502750898551565027602659258590893608380242043601530497486277923167659185728600650644628839280560794346076920612429383342470020723653855797638224043381049615299677139758375699573925680764205980876029161694658733152237990792448958896031179698483666405045208951346736883357337443892836080880627234405959862507097629449976224629485691265261474274154983858554004645854200035430694890779488955775799011605603944701498503077736773352843506612632058000505105012465244141133374074442538114935446282177804573363376610918367053516465007216934143166670219838640205415071328981781077811329566856942657061320440366523389440100080673597229153663203343635856823609174729853429252024435513801036596738428813720183583950881429093790685256134588637769255129348355366823833985268399922608255393796792554714149722151286052884726592949581714582534455333519777975868641977031730255936531776158905805944613086151216294488552407845341331411914201988785327776149856560055298091833358809893655730389454579925568186088776362219867492743603431097224588684685179418629990203336156602564525949537747386833823629977779512997808905441889698862690006223368674136649666246332623825613058615684814652769661456871022175497538466040994461827267628354051653225289421776285204252827404682610513598057026408140384988682035004632127730228665131550039762104110547877577555644904824199467084592018824266715687549714922316606939073681229780553413158751342590232319017422885057320039712686608609276096355026108056594942032425259293812645446041628230353062907761641451949899203829004149453456033064399537112746714604583986292326722294841938519061347834799413029577277171680091898783020242922882917231298371457313033751847497327593294729232625743758890916722771095493516891453376019038096359469996443072681770175434469448747064212949990699978921820710097519304864646997789577012109807247830613635498238894894774396013986000312730730009991113259232222159622107487350602706886797771797122081165792798365723840563792548489162637907270508672837971423014499235776816797298969309966549475463141871706929082824279019763926617254873788551138474690741471685207516472485843434692787364693651710509141763496492001286638239769467893991113853162972994106875883062107786545622375956395467961968697352063893795374946569944286984283846211243290591903019704493389631972157674514576407469571163294871435673395590591568836840083595431608029168945686738433097757390839017064358460322087028681179978232165528470907751274013752992544962736501640998735218934442015312832231127370487148922738188227704904833338314667338241567682168456903714216469490667995564221320414622000824461192066195658610572306602343915471379806246152948792033892631685638449953292834611407561609147913093898304037202103709748303841463340761094986290762920693245482278470024042563606020518662016818639783888903393530829773048717477714338683535002578281718945216755633905561091255343906385510825137425965521881042798606902316778536944701233445502691891055532980771711148695195962425057520063449414987553834722595034848977817322609915679641803376159692908163089172639289437681920234103860942410312678770430846521898898867081293250251076965104229556965235706965500683897864897332785031606879586251922127232913931107654019860942980987479683338048887792714777886809342385194009590033985035812953748707405218426090356136112627045250846096600501284579043014349951571080420238644884574532092001299112704055908127977626681348157108386283000860466548227199554121121864319462725264132918384144701812889037523865660160562405037046065781237435095021064775763670762472234168293018453911373436178160791982570290452752098161606526359102342905648586546759387922898324418508001926316106645820933190685105118873221738593522851476162559366637754050470629172154470441843203985636079811597921370524272071750591831563044399971250565417068072406400427673861577293765068610742096685281688891413946734803859769136692797654425573202938456743472957249569465241895309464358307534660106391458285882686545929061025996320850822162484333873103404552511980171443135638969131958680668569382159558927465452761288855825198287385715172060899521623410492655884088639411723173223418099427242553791514200228270031305986681659277847952764593356754342333892228242089980979356635262924064413815117049371906252360262845336482066927392805473299468317587681765748391873930153497955761519479134022226025342295826547193436473668288333592096718660334985254205562852750324298820808657945439578710527652491114821946160540255605832884743980072490856330730848230436467496153265947997943420621867070897638230503615442033318506317921639673799797514171023625914809277294440958071739664596782702270765648403913570212946571814878988236560881616158901349957006208127967866730314641952629572149350945353439954303144659301201746468369588583087103155004283289530342564877080046887018587054968619530137543118333092705033948142292703888977071176967358684001780650002531149398199270841468698422491691133395082212953445363628312165250292747851048120165445441269308203011868603308708113863005356511413283153032304208748305801569147604998959698365765023786741176076033402067353944203057484121868837099179587681318792290350578105230002463341881765301051952876308268177496034971572503911848161011657007350361993481088591899028641552333555106374976070450253384177310873304542495602053498504673252519058387537117276721514197824550762597493610405380978015766544791090213558996327496552034327424294890808742433020636437502651599829404563955571378677201718985699529002277022415206521588854374285841088039404892301743540124015002828702601426451713494211846680405967400757367956828296956249108530042832064728117191623338268961037818941115252021849816632882004110825994828702451664420457521584948997046491263205624071328535497077197033180039769730800702544774229056002107567799339537161709140096840267461702925606938099424824772102440388155213191038411963300639864875496124343737144907266537177408040346481419647047242555041535382745022272643270113713592306249264107326575091262980714230112411364157944645320892623993421255777760805645881507439626286169433407630451597945641954495681106133758176699877667056644208265149496969125137607150693175539228992989671479855513447120023182511432527608943489124489013117537974786320246848822029159538501649110518907671167633429124432707809216166444071399298688510453658228408972512670999542221856080905420908975894234526037721417762306133507517706477468824060557277104663990235360985870105516530033784665061910249469140227212228703619572362099507096026258837376319472767602949633799725107493951491747367890972955318109650188340593108863820708070491667240297095324918332441890921114839878365405390062244112363783414908143146223576961001420396772233514383433766729021826839332773855811648422020230702090928360466010494713878914501640335642171722196018990567434063820239427117749580241885982395075568768069140640960464087722230276641664935418252388778067133003047110533339525369339689445844486520685334129503188568120651307847998341046378266235440065011874683669112838689449047867406925292822459178446061868793873934140083037137022854117953265398820619649903894388357237994956289454387299283895645622179768679215341295356906508859448531683480001627028216854205425427788067356322374746170377931880573069914192641302743011850165698429862193680566559897172167199754437590703132919522477531080606124725156085641340129938161458603779064891459375274764147685929267476015413126516327491862527935141809369010103529869512230272032095009041863757801552010034040586150420873793695763668402773896796566965112691402792455403053253656226354532764675793844680222726918744547081214788958871718418082984146400472695172203961589947812180379111588901834968092403001591302080450620234280200006572333131380174902983540478701012934727810678784,58808,58808,58808,58808,86459.4259,86459.4259,86459.4259,86459.4259,0.0,1.49e8774,0.04961508166323528
linux26333,Random,2,29174.000000000004,17745714943254447165597722082821710968200136118112220519375353652197978401353968971103058658151298729341245381759781777864324593861761283558889609030193454541443388893162132424484387032813267798781901946750610738728011548220236366026846599273751777466618732658225600157705127683342939928780994647046317160508449995079551401875967886137340486797015376703042075404433132594627160171248748298342806460254762475335027960444409738122477532460479900926221229688704738091823595319994070136747530158969501478253581776677512288295604053534075411986236935569884746991356443932483375789313060594097853794701125372458443480368658621168996943688632815475505330398770358101420929401856945385313804374423427138732150153838250893936162882645221308972421428708534053316282300592953853460655607412389819157779036579490674432036146373338200889477712535341580346458499176228487695511611598559925272447983064980140976160232637022842641157816678226285428937805739963749492945653339576473995378526349625790704083470180450461253502750898551565027602659258590893608380242043601530497486277923167659185728600650644628839280560794346076920612429383342470020723653855797638224043381049615299677139758375699573925680764205980876029161694658733152237990792448958896031179698483666405045208951346736883357337443892836080880627234405959862507097629449976224629485691265261474274154983858554004645854200035430694890779488955775799011605603944701498503077736773352843506612632058000505105012465244141133374074442538114935446282177804573363376610918367053516465007216934143166670219838640205415071328981781077811329566856942657061320440366523389440100080673597229153663203343635856823609174729853429252024435513801036596738428813720183583950881429093790685256134588637769255129348355366823833985268399922608255393796792554714149722151286052884726592949581714582534455333519777975868641977031730255936531776158905805944613086151216294488552407845341331411914201988785327776149856560055298091833358809893655730389454579925568186088776362219867492743603431097224588684685179418629990203336156602564525949537747386833823629977779512997808905441889698862690006223368674136649666246332623825613058615684814652769661456871022175497538466040994461827267628354051653225289421776285204252827404682610513598057026408140384988682035004632127730228665131550039762104110547877577555644904824199467084592018824266715687549714922316606939073681229780553413158751342590232319017422885057320039712686608609276096355026108056594942032425259293812645446041628230353062907761641451949899203829004149453456033064399537112746714604583986292326722294841938519061347834799413029577277171680091898783020242922882917231298371457313033751847497327593294729232625743758890916722771095493516891453376019038096359469996443072681770175434469448747064212949990699978921820710097519304864646997789577012109807247830613635498238894894774396013986000312730730009991113259232222159622107487350602706886797771797122081165792798365723840563792548489162637907270508672837971423014499235776816797298969309966549475463141871706929082824279019763926617254873788551138474690741471685207516472485843434692787364693651710509141763496492001286638239769467893991113853162972994106875883062107786545622375956395467961968697352063893795374946569944286984283846211243290591903019704493389631972157674514576407469571163294871435673395590591568836840083595431608029168945686738433097757390839017064358460322087028681179978232165528470907751274013752992544962736501640998735218934442015312832231127370487148922738188227704904833338314667338241567682168456903714216469490667995564221320414622000824461192066195658610572306602343915471379806246152948792033892631685638449953292834611407561609147913093898304037202103709748303841463340761094986290762920693245482278470024042563606020518662016818639783888903393530829773048717477714338683535002578281718945216755633905561091255343906385510825137425965521881042798606902316778536944701233445502691891055532980771711148695195962425057520063449414987553834722595034848977817322609915679641803376159692908163089172639289437681920234103860942410312678770430846521898898867081293250251076965104229556965235706965500683897864897332785031606879586251922127232913931107654019860942980987479683338048887792714777886809342385194009590033985035812953748707405218426090356136112627045250846096600501284579043014349951571080420238644884574532092001299112704055908127977626681348157108386283000860466548227199554121121864319462725264132918384144701812889037523865660160562405037046065781237435095021064775763670762472234168293018453911373436178160791982570290452752098161606526359102342905648586546759387922898324418508001926316106645820933190685105118873221738593522851476162559366637754050470629172154470441843203985636079811597921370524272071750591831563044399971250565417068072406400427673861577293765068610742096685281688891413946734803859769136692797654425573202938456743472957249569465241895309464358307534660106391458285882686545929061025996320850822162484333873103404552511980171443135638969131958680668569382159558927465452761288855825198287385715172060899521623410492655884088639411723173223418099427242553791514200228270031305986681659277847952764593356754342333892228242089980979356635262924064413815117049371906252360262845336482066927392805473299468317587681765748391873930153497955761519479134022226025342295826547193436473668288333592096718660334985254205562852750324298820808657945439578710527652491114821946160540255605832884743980072490856330730848230436467496153265947997943420621867070897638230503615442033318506317921639673799797514171023625914809277294440958071739664596782702270765648403913570212946571814878988236560881616158901349957006208127967866730314641952629572149350945353439954303144659301201746468369588583087103155004283289530342564877080046887018587054968619530137543118333092705033948142292703888977071176967358684001780650002531149398199270841468698422491691133395082212953445363628312165250292747851048120165445441269308203011868603308708113863005356511413283153032304208748305801569147604998959698365765023786741176076033402067353944203057484121868837099179587681318792290350578105230002463341881765301051952876308268177496034971572503911848161011657007350361993481088591899028641552333555106374976070450253384177310873304542495602053498504673252519058387537117276721514197824550762597493610405380978015766544791090213558996327496552034327424294890808742433020636437502651599829404563955571378677201718985699529002277022415206521588854374285841088039404892301743540124015002828702601426451713494211846680405967400757367956828296956249108530042832064728117191623338268961037818941115252021849816632882004110825994828702451664420457521584948997046491263205624071328535497077197033180039769730800702544774229056002107567799339537161709140096840267461702925606938099424824772102440388155213191038411963300639864875496124343737144907266537177408040346481419647047242555041535382745022272643270113713592306249264107326575091262980714230112411364157944645320892623993421255777760805645881507439626286169433407630451597945641954495681106133758176699877667056644208265149496969125137607150693175539228992989671479855513447120023182511432527608943489124489013117537974786320246848822029159538501649110518907671167633429124432707809216166444071399298688510453658228408972512670999542221856080905420908975894234526037721417762306133507517706477468824060557277104663990235360985870105516530033784665061910249469140227212228703619572362099507096026258837376319472767602949633799725107493951491747367890972955318109650188340593108863820708070491667240297095324918332441890921114839878365405390062244112363783414908143146223576961001420396772233514383433766729021826839332773855811648422020230702090928360466010494713878914501640335642171722196018990567434063820239427117749580241885982395075568768069140640960464087722230276641664935418252388778067133003047110533339525369339689445844486520685334129503188568120651307847998341046378266235440065011874683669112838689449047867406925292822459178446061868793873934140083037137022854117953265398820619649903894388357237994956289454387299283895645622179768679215341295356906508859448531683480001627028216854205425427788067356322374746170377931880573069914192641302743011850165698429862193680566559897172167199754437590703132919522477531080606124725156085641340129938161458603779064891459375274764147685929267476015413126516327491862527935141809369010103529869512230272032095009041863757801552010034040586150420873793695763668402773896796566965112691402792455403053253656226354532764675793844680222726918744547081214788958871718418082984146400472695172203961589947812180379111588901834968092403001591302080450620234280200006572333131380174902983540478701012934727810678784,58808,58808,58808,58808,86459.4259,86459.4259,86459.4259,86459.4259,0.0,1.49e8774,0.04961508166323528
Automotive24,Random,2,2394.0,4632438043593408345637713970404518697455360929338020700251286164638922833290296261210275471908054082927678172415549545870695145203516810583601635587166351514610107165538745558411647927575883095993165049893845351105218868056451782753236019830913888921058489082707775794350658636371250726835106723373468799969254040720524751617654737817807391884481170174096831879768502222588615092235795245153808394336122063839036464089165027809754697270743823850939537930991563051159465774622775521029734224636204137038372488418330804851673423939219188714502504168696241334506597405937650710750538580209441230455411842593365629840001275402927172252775995877549778214861959632555767771491316538487814557811957312301189020983270233115459584,946874,946874,946874,946874,86478.3538,86478.3538,86478.3538,86478.3538,0.0,6.34e710,0.012969970727283456
Automotive24,Random,2,2394.0,4632438043593408345637713970404518697455360929338020700251286164638922833290296261210275471908054082927678172415549545870695145203516810583601635587166351514610107165538745558411647927575883095993165049893845351105218868056451782753236019830913888921058489082707775794350658636371250726835106723373468799969254040720524751617654737817807391884481170174096831879768502222588615092235795245153808394336122063839036464089165027809754697270743823850939537930991563051159465774622775521029734224636204137038372488418330804851673423939219188714502504168696241334506597405937650710750538580209441230455411842593365629840001275402927172252775995877549778214861959632555767771491316538487814557811957312301189020983270233115459584,946874,946874,946874,946874,86478.3538,86478.3538,86478.3538,86478.3538,0.0,6.34e710,0.012969970727283456
Automotive24,Random,2,2394.0,4632438043593408345637713970404518697455360929338020700251286164638922833290296261210275471908054082927678172415549545870695145203516810583601635587166351514610107165538745558411647927575883095993165049893845351105218868056451782753236019830913888921058489082707775794350658636371250726835106723373468799969254040720524751617654737817807391884481170174096831879768502222588615092235795245153808394336122063839036464089165027809754697270743823850939537930991563051159465774622775521029734224636204137038372488418330804851673423939219188714502504168696241334506597405937650710750538580209441230455411842593365629840001275402927172252775995877549778214861959632555767771491316538487814557811957312301189020983270233115459584,946874,946874,946874,946874,86478.3538,86478.3538,86478.3538,86478.3538,0.0,6.34e710,0.012969970727283456
embtoolkit,Random,1,15382.0,27758328010108391723533273051008521401993215107035853860962271509829959414991954804542791240949187357328752676867337961924993821362274829464380491878691646967929615139973395103485454182165082507767865352204915092169831515773096229763635230504341452127768395580288695779220769180396125392108681192985899867405199975492259156166400087675352193807266815825825559626237976357232530819808849431186185533093730210220413530721834200367359590112943266769312065293137780211892341872263947510247481033349428117271090825986173130524037354786306369305869408398495296608372756447787337467749685600444007484121293658444761556356564545046525035036071050093340975855951062119562076586150797616658314014567300155037618253111163246560690095300395918268372881910776040517966002539873659423871745071151990002361010180747332120023040721618561270671273476093299695273757453223165320773225092224201247850584664724834134620199070306164863568320056586319767627757948448536988617791506995943598638701413265107555475735991733776767779392976305002642866794971653166455103099733018686600742668982378084739529367886729769425393945575321083644863283089237459071120195423323017913434314290581358619417250681568965896058756282479411076584225368964158205479888764961933104547766491268413600426220682383711677026228323838237476148149349680222621907436150991689694135653693550625992493810103309030557880242193639924953674542944066028649652271837066798192426291756254908789287345488574265594044050499851092442601937988214490950960105932088997180421193364407518702477368152584155818298871177696138918564942688353406567469847763116772006564825546284892467533865601911053323432620537965338194539029004494933893486957531544952355223090459423067328760082811289256284758211692064632217446033785797534513446639571994716915827358250581798438358528420761750894859752675742298044006325487838050473717796580039221590350871431482773833912751664908636861370075690538572606235338282010973642525454144079785700794930652557153460112867552223697456421389395401123569186361815919325920802540086945090977911438741680089253055217217177586247174285181755888111260913591296864045319999773937058270216040005249683366273812514900862705896654303222572030018103878017596507010174083910738765277253969517371148583393313686689265006552517600478301962414464264920295420329679270914949911516866010620953170204464123011235261568386232401056832786351823212441770177134573959190358833337476948307247706332301597398781825876154153769225709660278230200846751139814792381966092726070784224094297117456070252778617145706709656440283145113498155614515535257399680499877182193616256928251090675390652170791826103786209370816456035921247627956223599019860400533736763328079990159578818662209991261429016456244712459394863471229626488236998886551196354312183876613453864822058974999540443946521840759594444372659710560683266155893422245718528743886109873064799576952909037403109951379442433381433561370702064229529609491509566823049145451299333586238842719521865024147743213391181036305508894890186043154572567836715572567684322520364874271456174115102060043602307575481542742765107580923131747073939802199161614871683045959799889824545549476940706269525100058767356030540705256245066066915188585357872463991610633217178147141783701857377055001773334478698027504696042635803828792200423359706080069854272385603573838103026351649278991449129203534757812890471461633035687121089822007080680178066060234751636945325091147850519208419901082318524429104222562384292913286826267971033539009803318896538999450837083752457173289263869148117280044231489374948981104136804589813118285611631108433791321782113062816155316217858296509271522444335420257993545604365263956453384438796804007063433604759940038446085010563851333443975661788404100869927238829773481532600550689135743482808051952368967087256667636793152012202684326884130970025651931094543188544370319506918109692321093851277999599216902418616990761656913782966564423506092362415176618118289087518469419984572942222367493845449539395667882299161207861023359581482675355944802933526649438708249277336577825692759878297079901588411843935874861824516136163481663760928610430330676024409427205107662132634330724277867011929935735975482492828013977008777838157288046283818594001169866994383329844639554862371757718654371461612524242880298127899157861986091585066147643953769942723087841697882567163240208126166147316455549871035181070758334646023831829048367672624556281644410406216029646588683729926830166295564208865451881921592964495380884233373048398590432462848478513035356202962139910889533482041534562609938395983864710055604728369031603453848762806335176704,236966,236966,236966,236966,86475.8083,86475.8083,86475.8083,86475.8083,0.0,1.42e4621,0.01220740389276196
embtoolkit,Random,1,15382.0,27758328010108391723533273051008521401993215107035853860962271509829959414991954804542791240949187357328752676867337961924993821362274829464380491878691646967929615139973395103485454182165082507767865352204915092169831515773096229763635230504341452127768395580288695779220769180396125392108681192985899867405199975492259156166400087675352193807266815825825559626237976357232530819808849431186185533093730210220413530721834200367359590112943266769312065293137780211892341872263947510247481033349428117271090825986173130524037354786306369305869408398495296608372756447787337467749685600444007484121293658444761556356564545046525035036071050093340975855951062119562076586150797616658314014567300155037618253111163246560690095300395918268372881910776040517966002539873659423871745071151990002361010180747332120023040721618561270671273476093299695273757453223165320773225092224201247850584664724834134620199070306164863568320056586319767627757948448536988617791506995943598638701413265107555475735991733776767779392976305002642866794971653166455103099733018686600742668982378084739529367886729769425393945575321083644863283089237459071120195423323017913434314290581358619417250681568965896058756282479411076584225368964158205479888764961933104547766491268413600426220682383711677026228323838237476148149349680222621907436150991689694135653693550625992493810103309030557880242193639924953674542944066028649652271837066798192426291756254908789287345488574265594044050499851092442601937988214490950960105932088997180421193364407518702477368152584155818298871177696138918564942688353406567469847763116772006564825546284892467533865601911053323432620537965338194539029004494933893486957531544952355223090459423067328760082811289256284758211692064632217446033785797534513446639571994716915827358250581798438358528420761750894859752675742298044006325487838050473717796580039221590350871431482773833912751664908636861370075690538572606235338282010973642525454144079785700794930652557153460112867552223697456421389395401123569186361815919325920802540086945090977911438741680089253055217217177586247174285181755888111260913591296864045319999773937058270216040005249683366273812514900862705896654303222572030018103878017596507010174083910738765277253969517371148583393313686689265006552517600478301962414464264920295420329679270914949911516866010620953170204464123011235261568386232401056832786351823212441770177134573959190358833337476948307247706332301597398781825876154153769225709660278230200846751139814792381966092726070784224094297117456070252778617145706709656440283145113498155614515535257399680499877182193616256928251090675390652170791826103786209370816456035921247627956223599019860400533736763328079990159578818662209991261429016456244712459394863471229626488236998886551196354312183876613453864822058974999540443946521840759594444372659710560683266155893422245718528743886109873064799576952909037403109951379442433381433561370702064229529609491509566823049145451299333586238842719521865024147743213391181036305508894890186043154572567836715572567684322520364874271456174115102060043602307575481542742765107580923131747073939802199161614871683045959799889824545549476940706269525100058767356030540705256245066066915188585357872463991610633217178147141783701857377055001773334478698027504696042635803828792200423359706080069854272385603573838103026351649278991449129203534757812890471461633035687121089822007080680178066060234751636945325091147850519208419901082318524429104222562384292913286826267971033539009803318896538999450837083752457173289263869148117280044231489374948981104136804589813118285611631108433791321782113062816155316217858296509271522444335420257993545604365263956453384438796804007063433604759940038446085010563851333443975661788404100869927238829773481532600550689135743482808051952368967087256667636793152012202684326884130970025651931094543188544370319506918109692321093851277999599216902418616990761656913782966564423506092362415176618118289087518469419984572942222367493845449539395667882299161207861023359581482675355944802933526649438708249277336577825692759878297079901588411843935874861824516136163481663760928610430330676024409427205107662132634330724277867011929935735975482492828013977008777838157288046283818594001169866994383329844639554862371757718654371461612524242880298127899157861986091585066147643953769942723087841697882567163240208126166147316455549871035181070758334646023831829048367672624556281644410406216029646588683729926830166295564208865451881921592964495380884233373048398590432462848478513035356202962139910889533482041534562609938395983864710055604728369031603453848762806335176704,236966,236966,236966,236966,86475.8083,86475.8083,86475.8083,86475.8083,0.0,1.42e4621,0.01220740389276196
busybox,Random,2,930.0000000000001,9.076030935533344e+279,3369103.0,3369103,3017538,3720668,86435.91485,86435.91485,86402.9946,86468.8351,4.122220574979307e-271,2.42e270,0.09005070024059601
uClinuxBase,Random,2,3713.0,53011964731314639360170211948944612964704102539734029726489124561294504015911946159546600129546616582963686747580297614112539484367985917450348142164324479806664791755121261307082907400871008789637247661119651509692039792807470747939375057064652404230895696250498153019693037270075500145947185742012497137762341187603993810780342751781066415020030854412546101526061213859287087970134446210330531222307912639519713558202409997545945974290594682478446905781928619834106212867030902653244998157330014042622049124771863130593894113369924880293659151097629295423969359637174269958687311277493322449002501444105518888295419048006500031564348836566009998778068252026426575989164661803420268518371668415529666173159040783223084467238758535589487870699423357464258378641284552952654453813850208224121092383173756478787343283350549338900394576562244966662748241423551249690179956160560366141531351832783336434676173527012791311738766106240195615564804992735124670490648976167391935267318509459583610715725525545793272873249974372976022146124194947837868488697844608115267025917699612067770289012133451821190233555300668713992192,3360209,3360209,3360209,3360209,86509.296,86509.296,86509.296,86509.296,0.0,5.03e1110,31.93942370159632
uClinux-distribution,Random,2,1044.0,188501787658138776526316391973679239907820382867140805681144220780050698265428977917842924316820804490882044531700026161400423140624345724347059987430217219443542346615871751089083876220596224387399635909565487009065232689887930358404389913798458461035797425091600762263250923357187307004059038598692050448905404416,1588502,1588502,1588502,1588502,86445.6019,86445.6019,86445.6019,86445.6019,2.3794414647373577e-307,4.20e306,3.541581719800769
