Model,Heuristic,Runs,CTC,TotalTrees,MedianAnalyzed,MeanAnalyzed,MinAnalyzed,MaxAnalyzed,MedianTime,MeanTime,MinTime,MaxTime,RatioAnalyzedAvoid,RatioAvoidAnalyzed,PercentageFinished
linux26333,Removed,2,29174.58496250072,26618572414881670748396583124232566452300204177168330779063030478296967602030953456654587987226948094011868072639672666796486890792641925338334413545290181812165083339743198636726580549219901698172852920125916108092017322330354549040269898910627666199928098987338400236557691525014409893171491970569475740762674992619327102813951829206010730195523065054563113106649698891940740256873122447514209690382143713002541940666614607183716298690719851389331844533057107137735392979991105205121295238454252217380372665016268432443406080301113117979355403354827120487034665898725063683969590891146780692051688058687665220552987931753495415532949223213257995598155537152131394102785418077970706561635140708098225230757376340904244323967831963458632143062801079974423450889430780190983411118584728736668554869236011648054219560007301334216568803012370519687748764342731543267417397839887908671974597470211464240348955534263961736725017339428143406708609945624239418480009364710993067789524438686056125205270675691880254126347827347541403988887886340412570363065402295746229416884751488778592900975966943258920841191519115380918644075013705031085480783696457336065071574422949515709637563549360888521146308971314043742541988099728356986188673438344046769547725499607567813427020105325036006165839254121320940851608939793760646444174964336944228536897892211411232475787831006968781300053146042336169233433663698517408405917052247754616605160029265259918948087000757657518697866211700061111663807172403169423266706860045064916377550580274697510825401214750005329757960308122606993472671616716994350285413985591980660549785084160150121010395843730494805015453785235413762094780143878036653270701554895107643220580275375926322143640686027884201882956653882694022533050235750977902599883912383090695188832071224583226929079327089889424372571873801683000279666963802962965547595383904797664238358708916919629226824441732828611768011997117871302983177991664224784840082947137750038214840483595584181869888352279133164543329801239115405146645836883027027769127944985305004234903846788924306621080250735444966669269496713358162834548294035009335053011204974499369498935738419587923527221979154492185306533263246307699061491692740901442531077479837934132664427806379241107023915770397085539612210577483023052506948191595342997697325059643156165821816366333467357236299200626888028236400073531324572383474910408610521844670830119738127013885348478526134327585980059569029912913914144532539162084892413048637888940718968169062442345529594361642462177924848805743506224180184049596599305669120071906875979438490083442262907778592021752199119544365915757520137848174530364384324375846947557185969550627771245991389942093848938615638336375084156643240275337180064028557144539204994664609022655263151704173120596319424986049968382731065146278957296970496684365518164710871745920453247358342342161594020979000469096095014986669888848333239433161231025904060330196657695683121748689197548585760845688822733743956860905763009256957134521748853665225195948453964949824213194712807560393624236418529645889925882310682826707712036112207527811274708728765152039181047040477565763712645244738001929957359654201840986670779744459491160313824593161679818433563934593201942953046028095840693062419854916430476425769316864935887854529556740084447958236511771864611204356744942307153510093385887353255260125393147412043753418530107649646636086258525596537690483130543021769967348248292706361626911020629488817444104752461498102828401663022969248346691055730723384107282341557357250007472001007362351523252685355571324704236001993346331980621933001236691788099293487915858459903515873207069709369229423188050838947528457674929939251917111342413721869640847456055803155564622455762195011141642479436144381039868223417705036063845409030777993025227959675833355090296244659573076216571508025302503867422578417825133450858341636883015859578266237706138948282821564197910353475167805417051850168254037836583299471157566723042793943637586280095174122481330752083892552273466725983914873519462705064239539362244633758958934156522880351155791413615469018155646269782848348300621939875376615447656344335447853560448251025846797345999177547410319379377883190849370896661481029791414471481219525007073331689072166830214013577791014385050977553719430623061107827639135534204168940567876269144900751926868564521524927356620630357967326861798138001948669056083862191966440022022235662579424501290699822340799331181682796479194087896199377576217052719333556285798490240843607555569098671856152642531597163645506143708351252439527680867060154267241187973855435679128147242409789538653514358472879820139081884347486627762002889474159968731399786027657678309832607890284277214243839049956631075705943758231705662764805978454119717396882055786408107625887747344566599956875848125602108609600641510792365940647602916113145027922533337120920102205789653705039196481638359804407685115209435874354197862842964196537461301990159587187428824029818893591538994481276233243726500809655106828767970257164703458453697938021002854073239338391198179141933283737797431078572758091349282435115738983826132959117584759835127149140863830687271300342405046958980022488916771929146890035131513500838342363134971469034952894386096620722675574057859378540394268004723100391089208209949202476381522648622587810895230246933642279218701033339038013443739820790154710502432500388145077990502477881308344279125486448231212986918159368065791478736672232919240810383408749327115970108736284496096272345654701244229898921996915130932800606346457345755423163049977759476882459510699696271256535438872213915941661437107609496895174053406148472605870355319419857722318482354841322424238352024935509312191951800095471962928944358224026418030159931454716988951802619702554382874630654732506424934295513847315620070330527880582452929295206314677499639057550922213439055833465606765451038026002670975003796724097298906262203047633737536700092623319430168045442468247875439121776572180248168161903962304517802904963062170794508034767119924729548456313122458702353721407498439547548647535680111764114050103101030916304586226182803255648769381521978188435525867157845003695012822647951577929314462402266244052457358755867772241517485511025542990221632887848542962328500332659562464105675380076265966309956813743403080247757009878778587581305675915082271296736826143896240415608071467023649817186635320338494491244828051491136442336213113649530954656253977399744106845933357068015802578478549293503415533622809782383281561428761632059107338452615310186022504243053902139677570241317770020608951101136051935242445434373662795064248097092175787435007403441556728411672878032774724949323006166238992243053677496630686282377423495569736894808436106992803245615795549770059654596201053817161343584003161351699009305742563710145260401192554388410407149137237158153660582232819786557617944950959797313244186515605717360899805766112060519722129470570863832562303074117533408964905170570388459373896160989862636894471071345168617046236916967981338935990131883666641208468822261159439429254150111445677396918462931743521659200637265049816500584966312397724245453687706410726039763308843489484507219783270170680034773767148791413415233686733519676306962179480370273233043739307752473665778361506751450143686649061713824249666107098948032765680487342613458769006499313332784121358131363463841351789056582126643459200261276559716203236090835915656995985353041478805158274795050676997592865374203710340818343055429358543149260644039388256064479209151404424450699587661240927237621051836459432977164475282510889663295731062105737500860445642987377498662836381672259817548108085093366168545675122362214719335365441502130595158350271575150650093532740258999160783717472633030346053136392540699015742070818371752460503463257583294028485851151095730359140676624370362828973592613353152103710961440696131583345414962497403127378583167100699504570665800009288054009534168766729781028001194254782852180976961771997511569567399353160097517812025503669258034173571801110387939233688767669092803190810901210124555705534281176929898098230929474855841582535856992434434181580948925843468433269653018823011943035359763289172797525220002440542325281308138141682101034483562119255566897820859604871288961954114517775248547644793290520849839845758250799631656386054699379283716296620909187087734128462010194907242187905668597337189062912146221528893901214023119689774491237793791902712714053515155294804268345408048142513562795636702328015051060879225631310690543645502604160845194850447669037104188683104579880484339531799147013690767020334090378116820621822183438307577627124476219600709042758305942384921718270568667383352752452138604502386953120675930351420300009858499697070262354475310718051519402091716018176,3,3,3,3,0.0,0.0,0.0,0.0,0.0,8.87e8781,100.0
linux26333,Removed,2,29174.58496250072,26618572414881670748396583124232566452300204177168330779063030478296967602030953456654587987226948094011868072639672666796486890792641925338334413545290181812165083339743198636726580549219901698172852920125916108092017322330354549040269898910627666199928098987338400236557691525014409893171491970569475740762674992619327102813951829206010730195523065054563113106649698891940740256873122447514209690382143713002541940666614607183716298690719851389331844533057107137735392979991105205121295238454252217380372665016268432443406080301113117979355403354827120487034665898725063683969590891146780692051688058687665220552987931753495415532949223213257995598155537152131394102785418077970706561635140708098225230757376340904244323967831963458632143062801079974423450889430780190983411118584728736668554869236011648054219560007301334216568803012370519687748764342731543267417397839887908671974597470211464240348955534263961736725017339428143406708609945624239418480009364710993067789524438686056125205270675691880254126347827347541403988887886340412570363065402295746229416884751488778592900975966943258920841191519115380918644075013705031085480783696457336065071574422949515709637563549360888521146308971314043742541988099728356986188673438344046769547725499607567813427020105325036006165839254121320940851608939793760646444174964336944228536897892211411232475787831006968781300053146042336169233433663698517408405917052247754616605160029265259918948087000757657518697866211700061111663807172403169423266706860045064916377550580274697510825401214750005329757960308122606993472671616716994350285413985591980660549785084160150121010395843730494805015453785235413762094780143878036653270701554895107643220580275375926322143640686027884201882956653882694022533050235750977902599883912383090695188832071224583226929079327089889424372571873801683000279666963802962965547595383904797664238358708916919629226824441732828611768011997117871302983177991664224784840082947137750038214840483595584181869888352279133164543329801239115405146645836883027027769127944985305004234903846788924306621080250735444966669269496713358162834548294035009335053011204974499369498935738419587923527221979154492185306533263246307699061491692740901442531077479837934132664427806379241107023915770397085539612210577483023052506948191595342997697325059643156165821816366333467357236299200626888028236400073531324572383474910408610521844670830119738127013885348478526134327585980059569029912913914144532539162084892413048637888940718968169062442345529594361642462177924848805743506224180184049596599305669120071906875979438490083442262907778592021752199119544365915757520137848174530364384324375846947557185969550627771245991389942093848938615638336375084156643240275337180064028557144539204994664609022655263151704173120596319424986049968382731065146278957296970496684365518164710871745920453247358342342161594020979000469096095014986669888848333239433161231025904060330196657695683121748689197548585760845688822733743956860905763009256957134521748853665225195948453964949824213194712807560393624236418529645889925882310682826707712036112207527811274708728765152039181047040477565763712645244738001929957359654201840986670779744459491160313824593161679818433563934593201942953046028095840693062419854916430476425769316864935887854529556740084447958236511771864611204356744942307153510093385887353255260125393147412043753418530107649646636086258525596537690483130543021769967348248292706361626911020629488817444104752461498102828401663022969248346691055730723384107282341557357250007472001007362351523252685355571324704236001993346331980621933001236691788099293487915858459903515873207069709369229423188050838947528457674929939251917111342413721869640847456055803155564622455762195011141642479436144381039868223417705036063845409030777993025227959675833355090296244659573076216571508025302503867422578417825133450858341636883015859578266237706138948282821564197910353475167805417051850168254037836583299471157566723042793943637586280095174122481330752083892552273466725983914873519462705064239539362244633758958934156522880351155791413615469018155646269782848348300621939875376615447656344335447853560448251025846797345999177547410319379377883190849370896661481029791414471481219525007073331689072166830214013577791014385050977553719430623061107827639135534204168940567876269144900751926868564521524927356620630357967326861798138001948669056083862191966440022022235662579424501290699822340799331181682796479194087896199377576217052719333556285798490240843607555569098671856152642531597163645506143708351252439527680867060154267241187973855435679128147242409789538653514358472879820139081884347486627762002889474159968731399786027657678309832607890284277214243839049956631075705943758231705662764805978454119717396882055786408107625887747344566599956875848125602108609600641510792365940647602916113145027922533337120920102205789653705039196481638359804407685115209435874354197862842964196537461301990159587187428824029818893591538994481276233243726500809655106828767970257164703458453697938021002854073239338391198179141933283737797431078572758091349282435115738983826132959117584759835127149140863830687271300342405046958980022488916771929146890035131513500838342363134971469034952894386096620722675574057859378540394268004723100391089208209949202476381522648622587810895230246933642279218701033339038013443739820790154710502432500388145077990502477881308344279125486448231212986918159368065791478736672232919240810383408749327115970108736284496096272345654701244229898921996915130932800606346457345755423163049977759476882459510699696271256535438872213915941661437107609496895174053406148472605870355319419857722318482354841322424238352024935509312191951800095471962928944358224026418030159931454716988951802619702554382874630654732506424934295513847315620070330527880582452929295206314677499639057550922213439055833465606765451038026002670975003796724097298906262203047633737536700092623319430168045442468247875439121776572180248168161903962304517802904963062170794508034767119924729548456313122458702353721407498439547548647535680111764114050103101030916304586226182803255648769381521978188435525867157845003695012822647951577929314462402266244052457358755867772241517485511025542990221632887848542962328500332659562464105675380076265966309956813743403080247757009878778587581305675915082271296736826143896240415608071467023649817186635320338494491244828051491136442336213113649530954656253977399744106845933357068015802578478549293503415533622809782383281561428761632059107338452615310186022504243053902139677570241317770020608951101136051935242445434373662795064248097092175787435007403441556728411672878032774724949323006166238992243053677496630686282377423495569736894808436106992803245615795549770059654596201053817161343584003161351699009305742563710145260401192554388410407149137237158153660582232819786557617944950959797313244186515605717360899805766112060519722129470570863832562303074117533408964905170570388459373896160989862636894471071345168617046236916967981338935990131883666641208468822261159439429254150111445677396918462931743521659200637265049816500584966312397724245453687706410726039763308843489484507219783270170680034773767148791413415233686733519676306962179480370273233043739307752473665778361506751450143686649061713824249666107098948032765680487342613458769006499313332784121358131363463841351789056582126643459200261276559716203236090835915656995985353041478805158274795050676997592865374203710340818343055429358543149260644039388256064479209151404424450699587661240927237621051836459432977164475282510889663295731062105737500860445642987377498662836381672259817548108085093366168545675122362214719335365441502130595158350271575150650093532740258999160783717472633030346053136392540699015742070818371752460503463257583294028485851151095730359140676624370362828973592613353152103710961440696131583345414962497403127378583167100699504570665800009288054009534168766729781028001194254782852180976961771997511569567399353160097517812025503669258034173571801110387939233688767669092803190810901210124555705534281176929898098230929474855841582535856992434434181580948925843468433269653018823011943035359763289172797525220002440542325281308138141682101034483562119255566897820859604871288961954114517775248547644793290520849839845758250799631656386054699379283716296620909187087734128462010194907242187905668597337189062912146221528893901214023119689774491237793791902712714053515155294804268345408048142513562795636702328015051060879225631310690543645502604160845194850447669037104188683104579880484339531799147013690767020334090378116820621822183438307577627124476219600709042758305942384921718270568667383352752452138604502386953120675930351420300009858499697070262354475310718051519402091716018176,3,3,3,3,0.0,0.0,0.0,0.0,0.0,8.87e8781,100.0
Automotive24,Removed,2,2394.0,4632438043593408345637713970404518697455360929338020700251286164638922833290296261210275471908054082927678172415549545870695145203516810583601635587166351514610107165538745558411647927575883095993165049893845351105218868056451782753236019830913888921058489082707775794350658636371250726835106723373468799969254040720524751617654737817807391884481170174096831879768502222588615092235795245153808394336122063839036464089165027809754697270743823850939537930991563051159465774622775521029734224636204137038372488418330804851673423939219188714502504168696241334506597405937650710750538580209441230455411842593365629840001275402927172252775995877549778214861959632555767771491316538487814557811957312301189020983270233115459584,312011,312011,312011,312011,86477.7581,86477.7581,86477.7581,86477.7581,0.0,1.48e715,100.0
Automotive24,Removed,2,2394.0,4632438043593408345637713970404518697455360929338020700251286164638922833290296261210275471908054082927678172415549545870695145203516810583601635587166351514610107165538745558411647927575883095993165049893845351105218868056451782753236019830913888921058489082707775794350658636371250726835106723373468799969254040720524751617654737817807391884481170174096831879768502222588615092235795245153808394336122063839036464089165027809754697270743823850939537930991563051159465774622775521029734224636204137038372488418330804851673423939219188714502504168696241334506597405937650710750538580209441230455411842593365629840001275402927172252775995877549778214861959632555767771491316538487814557811957312301189020983270233115459584,312011,312011,312011,312011,86477.7581,86477.7581,86477.7581,86477.7581,0.0,1.48e715,100.0
Automotive24,Removed,2,2394.0,4632438043593408345637713970404518697455360929338020700251286164638922833290296261210275471908054082927678172415549545870695145203516810583601635587166351514610107165538745558411647927575883095993165049893845351105218868056451782753236019830913888921058489082707775794350658636371250726835106723373468799969254040720524751617654737817807391884481170174096831879768502222588615092235795245153808394336122063839036464089165027809754697270743823850939537930991563051159465774622775521029734224636204137038372488418330804851673423939219188714502504168696241334506597405937650710750538580209441230455411842593365629840001275402927172252775995877549778214861959632555767771491316538487814557811957312301189020983270233115459584,312011,312011,312011,312011,86477.7581,86477.7581,86477.7581,86477.7581,0.0,1.48e715,100.0
embtoolkit,Removed,1,15382.0,27758328010108391723533273051008521401993215107035853860962271509829959414991954804542791240949187357328752676867337961924993821362274829464380491878691646967929615139973395103485454182165082507767865352204915092169831515773096229763635230504341452127768395580288695779220769180396125392108681192985899867405199975492259156166400087675352193807266815825825559626237976357232530819808849431186185533093730210220413530721834200367359590112943266769312065293137780211892341872263947510247481033349428117271090825986173130524037354786306369305869408398495296608372756447787337467749685600444007484121293658444761556356564545046525035036071050093340975855951062119562076586150797616658314014567300155037618253111163246560690095300395918268372881910776040517966002539873659423871745071151990002361010180747332120023040721618561270671273476093299695273757453223165320773225092224201247850584664724834134620199070306164863568320056586319767627757948448536988617791506995943598638701413265107555475735991733776767779392976305002642866794971653166455103099733018686600742668982378084739529367886729769425393945575321083644863283089237459071120195423323017913434314290581358619417250681568965896058756282479411076584225368964158205479888764961933104547766491268413600426220682383711677026228323838237476148149349680222621907436150991689694135653693550625992493810103309030557880242193639924953674542944066028649652271837066798192426291756254908789287345488574265594044050499851092442601937988214490950960105932088997180421193364407518702477368152584155818298871177696138918564942688353406567469847763116772006564825546284892467533865601911053323432620537965338194539029004494933893486957531544952355223090459423067328760082811289256284758211692064632217446033785797534513446639571994716915827358250581798438358528420761750894859752675742298044006325487838050473717796580039221590350871431482773833912751664908636861370075690538572606235338282010973642525454144079785700794930652557153460112867552223697456421389395401123569186361815919325920802540086945090977911438741680089253055217217177586247174285181755888111260913591296864045319999773937058270216040005249683366273812514900862705896654303222572030018103878017596507010174083910738765277253969517371148583393313686689265006552517600478301962414464264920295420329679270914949911516866010620953170204464123011235261568386232401056832786351823212441770177134573959190358833337476948307247706332301597398781825876154153769225709660278230200846751139814792381966092726070784224094297117456070252778617145706709656440283145113498155614515535257399680499877182193616256928251090675390652170791826103786209370816456035921247627956223599019860400533736763328079990159578818662209991261429016456244712459394863471229626488236998886551196354312183876613453864822058974999540443946521840759594444372659710560683266155893422245718528743886109873064799576952909037403109951379442433381433561370702064229529609491509566823049145451299333586238842719521865024147743213391181036305508894890186043154572567836715572567684322520364874271456174115102060043602307575481542742765107580923131747073939802199161614871683045959799889824545549476940706269525100058767356030540705256245066066915188585357872463991610633217178147141783701857377055001773334478698027504696042635803828792200423359706080069854272385603573838103026351649278991449129203534757812890471461633035687121089822007080680178066060234751636945325091147850519208419901082318524429104222562384292913286826267971033539009803318896538999450837083752457173289263869148117280044231489374948981104136804589813118285611631108433791321782113062816155316217858296509271522444335420257993545604365263956453384438796804007063433604759940038446085010563851333443975661788404100869927238829773481532600550689135743482808051952368967087256667636793152012202684326884130970025651931094543188544370319506918109692321093851277999599216902418616990761656913782966564423506092362415176618118289087518469419984572942222367493845449539395667882299161207861023359581482675355944802933526649438708249277336577825692759878297079901588411843935874861824516136163481663760928610430330676024409427205107662132634330724277867011929935735975482492828013977008777838157288046283818594001169866994383329844639554862371757718654371461612524242880298127899157861986091585066147643953769942723087841697882567163240208126166147316455549871035181070758334646023831829048367672624556281644410406216029646588683729926830166295564208865451881921592964495380884233373048398590432462848478513035356202962139910889533482041534562609938395983864710055604728369031603453848762806335176704,109911,109911,109911,109911,86472.6131,86472.6131,86472.6131,86472.6131,0.0,2.52e4625,100.0
embtoolkit,Removed,1,15382.0,27758328010108391723533273051008521401993215107035853860962271509829959414991954804542791240949187357328752676867337961924993821362274829464380491878691646967929615139973395103485454182165082507767865352204915092169831515773096229763635230504341452127768395580288695779220769180396125392108681192985899867405199975492259156166400087675352193807266815825825559626237976357232530819808849431186185533093730210220413530721834200367359590112943266769312065293137780211892341872263947510247481033349428117271090825986173130524037354786306369305869408398495296608372756447787337467749685600444007484121293658444761556356564545046525035036071050093340975855951062119562076586150797616658314014567300155037618253111163246560690095300395918268372881910776040517966002539873659423871745071151990002361010180747332120023040721618561270671273476093299695273757453223165320773225092224201247850584664724834134620199070306164863568320056586319767627757948448536988617791506995943598638701413265107555475735991733776767779392976305002642866794971653166455103099733018686600742668982378084739529367886729769425393945575321083644863283089237459071120195423323017913434314290581358619417250681568965896058756282479411076584225368964158205479888764961933104547766491268413600426220682383711677026228323838237476148149349680222621907436150991689694135653693550625992493810103309030557880242193639924953674542944066028649652271837066798192426291756254908789287345488574265594044050499851092442601937988214490950960105932088997180421193364407518702477368152584155818298871177696138918564942688353406567469847763116772006564825546284892467533865601911053323432620537965338194539029004494933893486957531544952355223090459423067328760082811289256284758211692064632217446033785797534513446639571994716915827358250581798438358528420761750894859752675742298044006325487838050473717796580039221590350871431482773833912751664908636861370075690538572606235338282010973642525454144079785700794930652557153460112867552223697456421389395401123569186361815919325920802540086945090977911438741680089253055217217177586247174285181755888111260913591296864045319999773937058270216040005249683366273812514900862705896654303222572030018103878017596507010174083910738765277253969517371148583393313686689265006552517600478301962414464264920295420329679270914949911516866010620953170204464123011235261568386232401056832786351823212441770177134573959190358833337476948307247706332301597398781825876154153769225709660278230200846751139814792381966092726070784224094297117456070252778617145706709656440283145113498155614515535257399680499877182193616256928251090675390652170791826103786209370816456035921247627956223599019860400533736763328079990159578818662209991261429016456244712459394863471229626488236998886551196354312183876613453864822058974999540443946521840759594444372659710560683266155893422245718528743886109873064799576952909037403109951379442433381433561370702064229529609491509566823049145451299333586238842719521865024147743213391181036305508894890186043154572567836715572567684322520364874271456174115102060043602307575481542742765107580923131747073939802199161614871683045959799889824545549476940706269525100058767356030540705256245066066915188585357872463991610633217178147141783701857377055001773334478698027504696042635803828792200423359706080069854272385603573838103026351649278991449129203534757812890471461633035687121089822007080680178066060234751636945325091147850519208419901082318524429104222562384292913286826267971033539009803318896538999450837083752457173289263869148117280044231489374948981104136804589813118285611631108433791321782113062816155316217858296509271522444335420257993545604365263956453384438796804007063433604759940038446085010563851333443975661788404100869927238829773481532600550689135743482808051952368967087256667636793152012202684326884130970025651931094543188544370319506918109692321093851277999599216902418616990761656913782966564423506092362415176618118289087518469419984572942222367493845449539395667882299161207861023359581482675355944802933526649438708249277336577825692759878297079901588411843935874861824516136163481663760928610430330676024409427205107662132634330724277867011929935735975482492828013977008777838157288046283818594001169866994383329844639554862371757718654371461612524242880298127899157861986091585066147643953769942723087841697882567163240208126166147316455549871035181070758334646023831829048367672624556281644410406216029646588683729926830166295564208865451881921592964495380884233373048398590432462848478513035356202962139910889533482041534562609938395983864710055604728369031603453848762806335176704,109911,109911,109911,109911,86472.6131,86472.6131,86472.6131,86472.6131,0.0,2.52e4625,100.0
busybox,Removed,2,930.0000000000001,9.076030935533344e+279,1914121.0,1914121,1877812,1950430,86425.20285,86425.20285,86402.6519,86447.7538,1.9918792176123364e-252,5.02e251,1.0587914365034855e-20
uClinuxBase,Removed,2,3713.0,53011964731314639360170211948944612964704102539734029726489124561294504015911946159546600129546616582963686747580297614112539484367985917450348142164324479806664791755121261307082907400871008789637247661119651509692039792807470747939375057064652404230895696250498153019693037270075500145947185742012497137762341187603993810780342751781066415020030854412546101526061213859287087970134446210330531222307912639519713558202409997545945974290594682478446905781928619834106212867030902653244998157330014042622049124771863130593894113369924880293659151097629295423969359637174269958687311277493322449002501444105518888295419048006500031564348836566009998778068252026426575989164661803420268518371668415529666173159040783223084467238758535589487870699423357464258378641284552952654453813850208224121092383173756478787343283350549338900394576562244966662748241423551249690179956160560366141531351832783336434676173527012791311738766106240195615564804992735124670490648976167391935267318509459583610715725525545793272873249974372976022146124194947837868488697844608115267025917699612067770289012133451821190233555300668713992192,1408121,1408121,1408121,1408121,86506.8694,86506.8694,86506.8694,86506.8694,0.0,3.76e1111,99.9999999998181
uClinux-distribution,Removed,2,1044.0,188501787658138776526316391973679239907820382867140805681144220780050698265428977917842924316820804490882044531700026161400423140624345724347059987430217219443542346615871751089083876220596224387399635909565487009065232689887930358404389913798458461035797425091600762263250923357187307004059038598692050448905404416,766333,766333,766333,766333,86434.7678,86434.7678,86434.7678,86434.7678,5.42051800159263e-309,1.84e308,75.0
